epoch,learning_rate,loss,step
0.04,1e-05,133.4601,10
0.09,1e-05,126.6353,20
0.13,1e-05,115.5211,30
0.18,1e-05,108.2982,40
0.22,1e-05,95.5048,50
0.26,1e-05,86.2597,60
0.31,1e-05,79.5347,70
0.35,1e-05,67.3921,80
0.4,1e-05,51.338,90
0.44,1e-05,32.4379,100
0.48,1e-05,14.7893,110
0.53,1e-05,7.5103,120
0.57,1e-05,6.4787,130
0.62,1e-05,6.3563,140
0.66,1e-05,6.3781,150
0.7,1e-05,6.2917,160
0.75,1e-05,6.2204,170
0.79,1e-05,6.2317,180
0.84,1e-05,6.201,190
0.88,1e-05,6.1236,200
0.93,1e-05,6.2585,210
0.97,1e-05,6.1751,220
1.01,1e-05,6.1238,230
1.06,1e-05,6.1764,240
1.1,1e-05,6.1778,250
1.15,1e-05,6.1621,260
1.19,1e-05,6.1119,270
1.23,1e-05,6.1601,280
1.28,1e-05,6.078,290
1.32,1e-05,6.0893,300
1.37,1e-05,6.1653,310
1.41,1e-05,6.1388,320
1.45,1e-05,6.1481,330
1.5,1e-05,6.1478,340
1.54,1e-05,6.1286,350
1.59,1e-05,6.1029,360
1.63,1e-05,6.1143,370
1.67,1e-05,6.0737,380
1.72,1e-05,6.1266,390
1.76,1e-05,6.0522,400
1.81,1e-05,6.1075,410
1.85,1e-05,6.0569,420
1.89,1e-05,6.0779,430
1.94,1e-05,6.0542,440
1.98,1e-05,6.0128,450
2.03,1e-05,5.9481,460
2.07,1e-05,5.9526,470
2.11,1e-05,5.969,480
2.16,1e-05,5.8609,490
2.2,1e-05,5.9515,500
2.25,1e-05,6.0203,510
2.29,1e-05,6.0896,520
2.33,1e-05,5.909,530
2.38,1e-05,5.8994,540
2.42,1e-05,5.8291,550
2.47,1e-05,5.8777,560
2.51,1e-05,5.8505,570
2.56,1e-05,5.7393,580
2.6,1e-05,5.7865,590
2.64,1e-05,5.745,600
2.69,1e-05,5.8201,610
2.73,1e-05,5.7048,620
2.78,1e-05,5.7655,630
2.82,1e-05,5.7527,640
2.86,1e-05,5.7633,650
2.91,1e-05,5.7288,660
2.95,1e-05,5.6868,670
3.0,1e-05,5.5815,680
3.04,1e-05,5.4511,690
3.08,1e-05,5.4634,700
3.13,1e-05,5.4759,710
3.17,1e-05,5.4922,720
3.22,1e-05,5.3767,730
3.26,1e-05,5.3116,740
3.3,1e-05,5.3429,750
3.35,1e-05,5.3391,760
3.39,1e-05,5.3336,770
3.44,1e-05,5.17,780
3.48,1e-05,5.2425,790
3.52,1e-05,5.0951,800
3.57,1e-05,5.2719,810
3.61,1e-05,5.0721,820
3.66,1e-05,5.021,830
3.7,1e-05,5.1047,840
3.74,1e-05,4.9515,850
3.79,1e-05,5.0712,860
3.83,1e-05,5.0487,870
3.88,1e-05,5.018,880
3.92,1e-05,4.8899,890
3.96,1e-05,4.871,900
4.01,1e-05,4.9074,910
4.05,1e-05,4.7029,920
4.1,1e-05,4.7437,930
4.14,1e-05,4.5966,940
4.19,1e-05,4.6389,950
4.23,1e-05,4.4773,960
4.27,1e-05,4.6119,970
4.32,1e-05,4.4223,980
4.36,1e-05,4.5072,990
4.41,1e-05,4.4079,1000
4.45,1e-05,4.3318,1010
4.49,1e-05,4.2283,1020
4.54,1e-05,4.2539,1030
4.58,1e-05,4.2628,1040
4.63,1e-05,4.1213,1050
4.67,1e-05,4.266,1060
4.71,1e-05,4.1557,1070
4.76,1e-05,4.1344,1080
4.8,1e-05,4.2051,1090
4.85,1e-05,4.0718,1100
4.89,1e-05,3.993,1110
4.93,1e-05,3.7949,1120
4.98,1e-05,3.8906,1130
5.02,1e-05,3.8275,1140
5.07,1e-05,3.7247,1150
5.11,1e-05,3.7893,1160
5.15,1e-05,3.7175,1170
5.2,1e-05,3.7063,1180
5.24,1e-05,3.7006,1190
5.29,1e-05,3.5491,1200
5.33,1e-05,3.5337,1210
5.37,1e-05,3.5099,1220
5.42,1e-05,3.599,1230
5.46,1e-05,3.7015,1240
5.51,1e-05,3.5825,1250
5.55,1e-05,3.43,1260
5.59,1e-05,3.3985,1270
5.64,1e-05,3.3239,1280
5.68,1e-05,3.4121,1290
5.73,1e-05,3.4256,1300
5.77,1e-05,3.4394,1310
5.81,1e-05,3.4469,1320
5.86,1e-05,3.2348,1330
5.9,1e-05,3.2504,1340
5.95,1e-05,3.1418,1350
5.99,1e-05,3.2462,1360
6.04,1e-05,3.1498,1370
6.08,1e-05,3.1195,1380
6.12,1e-05,3.1024,1390
6.17,1e-05,2.9975,1400
6.21,1e-05,2.9896,1410
6.26,1e-05,3.1017,1420
6.3,1e-05,3.0092,1430
6.34,1e-05,3.0264,1440
6.39,1e-05,3.0421,1450
6.43,1e-05,2.8991,1460
6.48,1e-05,2.949,1470
6.52,1e-05,2.974,1480
6.56,1e-05,2.8443,1490
6.61,1e-05,2.8359,1500
6.65,1e-05,2.712,1510
6.7,1e-05,2.7953,1520
6.74,1e-05,2.6754,1530
6.78,1e-05,2.7387,1540
6.83,1e-05,2.8307,1550
6.87,1e-05,2.7529,1560
6.92,1e-05,2.7641,1570
6.96,1e-05,2.7702,1580
7.0,1e-05,2.64,1590
7.05,1e-05,2.6328,1600
7.09,1e-05,2.5943,1610
7.14,1e-05,2.7841,1620
7.18,1e-05,2.4408,1630
7.22,1e-05,2.5894,1640
7.27,1e-05,2.5504,1650
7.31,1e-05,2.6712,1660
